-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000000;0.000000
-0.000540;0.001680
-0.002160;0.006720
-0.004860;0.015120
-0.008640;0.026880
-0.013500;0.042000
-0.019440;0.060480
-0.026460;0.082320
-0.034560;0.107520
-0.043740;0.136080
-0.054000;0.168000
-0.065340;0.203280
-0.077760;0.241920
-0.091260;0.283920
-0.105840;0.329280
-0.121500;0.378000
-0.138240;0.430080
-0.156060;0.485520
-0.174960;0.544320
-0.194940;0.606480
-0.216000;0.672000
-0.238140;0.740880
-0.261360;0.813120
-0.285660;0.888720
-0.311040;0.967680
-0.337500;1.050000
-0.365040;1.135680
-0.393660;1.224720
-0.423360;1.317120
-0.454140;1.412880
-0.486000;1.512000
-0.518940;1.614480
-0.552960;1.720320
-0.588060;1.829520
-0.624240;1.942080
-0.661500;2.058000
-0.699840;2.177280
-0.739260;2.299920
-0.779760;2.425920
-0.821340;2.555280
-0.864000;2.688000
-0.907740;2.824080
-0.952560;2.963520
-0.998460;3.106320
-1.045440;3.252480
-1.093500;3.402000
-1.142640;3.554880
-1.192860;3.711120
-1.244160;3.870720
-1.296540;4.033680
-1.350000;4.200000
-1.402920;4.364640
-1.453680;4.522560
-1.502280;4.673760
-1.548720;4.818240
-1.593000;4.956000
-1.635120;5.087040
-1.675080;5.211360
-1.712880;5.328960
-1.748520;5.439840
-1.782000;5.544000
-1.813320;5.641440
-1.842480;5.732160
-1.869480;5.816160
-1.894320;5.893440
-1.917000;5.964000
-1.937520;6.027840
-1.955880;6.084960
-1.972080;6.135360
-1.986120;6.179040
-1.998000;6.216000
-2.007720;6.246240
-2.015280;6.269760
-2.020680;6.286560
-2.023920;6.296640
-2.025000;6.300000
-2.023920;6.296640
-2.020680;6.286560
-2.015280;6.269760
-2.007720;6.246240
-1.998000;6.216000
-1.986120;6.179040
-1.972080;6.135360
-1.955880;6.084960
-1.937520;6.027840
-1.917000;5.964000
-1.894320;5.893440
-1.869480;5.816160
-1.842480;5.732160
-1.813320;5.641440
-1.782000;5.544000
-1.748520;5.439840
-1.712880;5.328960
-1.675080;5.211360
-1.635120;5.087040
-1.593000;4.956000
-1.548720;4.818240
-1.502280;4.673760
-1.453680;4.522560
-1.402920;4.364640
-1.350000;4.200000
-1.296540;4.033680
-1.244160;3.870720
-1.192860;3.711120
-1.142640;3.554880
-1.093500;3.402000
-1.045440;3.252480
-0.998460;3.106320
-0.952560;2.963520
-0.907740;2.824080
-0.864000;2.688000
-0.821340;2.555280
-0.779760;2.425920
-0.739260;2.299920
-0.699840;2.177280
-0.661500;2.058000
-0.624240;1.942080
-0.588060;1.829520
-0.552960;1.720320
-0.518940;1.614480
-0.486000;1.512000
-0.454140;1.412880
-0.423360;1.317120
-0.393660;1.224720
-0.365040;1.135680
-0.337500;1.050000
-0.311040;0.967680
-0.285660;0.888720
-0.261360;0.813120
-0.238140;0.740880
-0.216000;0.672000
-0.194940;0.606480
-0.174960;0.544320
-0.156060;0.485520
-0.138240;0.430080
-0.121500;0.378000
-0.105840;0.329280
-0.091260;0.283920
-0.077760;0.241920
-0.065340;0.203280
-0.054000;0.168000
-0.043740;0.136080
-0.034560;0.107520
-0.026460;0.082320
-0.019440;0.060480
-0.013500;0.042000
-0.008640;0.026880
-0.004860;0.015120
-0.002160;0.006720
-0.000540;0.001680
-0.000000;0.000000
